 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
SLF7MZ;201103;20110316;80;62;6
SLF7MZ;201104;-;20;2;0
SLF7MZ;201105;-;0;0;0
SLF7MZ;201106;-;-;-;-
SLF7MZ;201107;-;-;-;-
SLF7MZ;201108;-;-;-;-
SLF7MZ;201109;-;-;-;-
SLF7MZ;201110;20111005;22;2;22
SLF7MZ;201111;-;0;0;0
SLF7MZ;201112;20111222;56;22;26
SLF7MZ;201201;20120120;90;69;32
SLF7MZ;201202;20120215;74;70;6
SLF7MZ;201203;20120318;80;53;32
SLF7MZ;201204;20120421;29;9;25
SLF7MZ;201205;20120505;5;0;5
SLF7MZ;201206;-;-;-;-
SLF7MZ;201207;-;-;-;-
SLF7MZ;201208;-;-;-;-
SLF7MZ;201209;-;-;-;-
SLF7MZ;201210;20121015;37;5;37
SLF7MZ;201211;20121128;32;11;21
SLF7MZ;201212;20121227;72;45;14
SLF7MZ;201301;20130120;82;63;17

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SMM;200701;20070122;16;35;14
SMM;200702;20070212;6;21;17
SMM;200703;20070319;18;18;6
SMM;200704;20070403;2;2;0
SMM;200705;-;0;0;0
SMM;200706;-;0;0;0
SMM;200707;-;0;0;0
SMM;200708;-;0;0;0
SMM;200709;-;0;0;0
SMM;200710;-;0;0;0
SMM;200711;20071110;14;20;9
SMM;200712;20071202;10;25;16
SMM;200801;20080112;22;62;42
SMM;200802;20080204;13;54;44
SMM;200803;20080310;6;31;14
SMM;200804;20080406;29;29;2
SMM;200805;-;0;0;0
SMM;200806;-;0;0;0
SMM;200807;-;0;0;0
SMM;200808;-;0;0;0
SMM;200809;-;0;0;0
SMM;200810;20081031;8;8;0
SMM;200811;20081130;20;35;4
SMM;200812;20081210;35;72;52
SMM;200901;20090120;34;100;59
SMM;200902;20090206;18;100;84
SMM;200903;20090329;10;81;65
SMM;200904;20090428;2;44;8
SMM;200905;-;0;0;0
SMM;200906;-;0;0;0
SMM;200907;-;0;0;0
SMM;200908;-;0;0;0
SMM;200909;-;0;0;0
SMM;200910;20091013;1;1;0
SMM;200911;20091129;22;22;5
SMM;200912;20091222;34;70;37
SMM;201001;20100109;11;74;67
SMM;201002;20100226;11;78;66
SMM;201003;20100309;13;85;61
SMM;201004;20100401;6;27;6
SMM;201005;-;0;0;0
SMM;201006;-;0;0;0
SMM;201007;-;0;0;0
SMM;201008;-;0;0;0
SMM;201009;-;0;0;0
SMM;201010;20101024;18;25;3
SMM;201011;20101121;25;28;10
SMM;201012;20101201;15;40;26
SMM;201101;20110110;3;28;25
SMM;201102;20110227;10;37;26
SMM;201103;20110317;4;33;17
SMM;201104;-;0;0;0
SMM;201105;-;0;0;0
SMM;201106;-;0;0;0
SMM;201107;-;0;0;0
SMM;201108;-;0;0;0
SMM;201109;20110918;3;3;0
SMM;201110;20111008;16;16;1
SMM;201111;-;0;0;0
SMM;201112;20111230;10;15;6
SMM;201201;20120120;12;32;26
SMM;201202;20120219;6;40;32
SMM;201203;20120318;3;14;1
SMM;201204;20120421;7;10;1
